FECHA HECHO,DEPARTAMENTO,MUNICIPIO,CANTIDAD
2010-01-02,NARIÑO,OLAYA HERRERA,1
2010-01-03,ANTIOQUIA,ANORI,1
2010-01-03,CUNDINAMARCA,PUERTO SALGAR,1
2010-01-03,NARIÑO,SAN ANDRES DE TUMACO,2
2010-01-03,NARIÑO,OLAYA HERRERA,1
2010-01-04,GUAVIARE,SAN JOSE DEL GUAVIARE,5
2010-01-04,ANTIOQUIA,YARUMAL,1
2010-01-05,GUAVIARE,SAN JOSE DEL GUAVIARE,5
2010-01-05,CAQUETÁ,PUERTO RICO,1
2010-01-05,CAUCA,FLORENCIA,1
2010-01-06,ANTIOQUIA,ITUANGO,1
2010-01-06,PUTUMAYO,LEGUIZAMO,1
2010-01-06,PUTUMAYO,PUERTO ASIS,1
2010-01-07,GUAVIARE,SAN JOSE DEL GUAVIARE,4
2010-01-07,PUTUMAYO,ORITO,1
2010-01-08,CAUCA,FLORENCIA,1
2010-01-08,ANTIOQUIA,YOLOMBO,1
2010-01-08,SANTANDER,EL PLAYON,1
2010-01-09,CAQUETÁ,CARTAGENA DEL CHAIRA,1
2010-01-09,ANTIOQUIA,YARUMAL,1
2010-01-09,ANTIOQUIA,BRICEÑO,1
2010-01-10,NARIÑO,LINARES,1
2010-01-11,META,PUERTO RICO,2
2010-01-11,MAGDALENA,SANTA MARTA,1
2010-01-11,PUTUMAYO,VILLAGARZON,2
2010-01-12,GUAVIARE,EL RETORNO,1
2010-01-12,ANTIOQUIA,TARAZA,1
2010-01-12,META,PUERTO GAITAN,1
2010-01-12,CALDAS,SAMANA,1
2010-01-12,MAGDALENA,CIENAGA,1
2010-01-12,NARIÑO,LA TOLA,1
2010-01-12,NARIÑO,SAN ANDRES DE TUMACO,1
2010-01-13,ANTIOQUIA,VALDIVIA,1
2010-01-13,NARIÑO,SAN ANDRES DE TUMACO,1
2010-01-14,ANTIOQUIA,VALDIVIA,1
2010-01-14,NORTE DE SANTANDER,EL TARRA,2
2010-01-14,NORTE DE SANTANDER,SAN CALIXTO,1
2010-01-14,BOLÍVAR,ALTOS DEL ROSARIO,1
2010-01-14,META,SAN JUAN DE ARAMA,1
2010-01-14,NARIÑO,SAN ANDRES DE TUMACO,3
2010-01-15,CAQUETÁ,EL DONCELLO,9
2010-01-15,CAUCA,ARGELIA,1
2010-01-15,NARIÑO,SAN ANDRES DE TUMACO,1
2010-01-16,ANTIOQUIA,VALDIVIA,1
2010-01-16,NORTE DE SANTANDER,TIBU,1
2010-01-16,CAUCA,BOLIVAR,1
2010-01-16,PUTUMAYO,PUERTO CAICEDO,1
2010-01-16,VALLE DEL CAUCA,FLORIDA,1
2010-01-16,NARIÑO,SAN ANDRES DE TUMACO,2
2010-01-17,GUAVIARE,SAN JOSE DEL GUAVIARE,1
2010-01-17,PUTUMAYO,ORITO,1
2010-01-17,CAUCA,ARGELIA,1
2010-01-17,NARIÑO,SAN ANDRES DE TUMACO,6
2010-01-18,ANTIOQUIA,ANORI,1
2010-01-18,PUTUMAYO,ORITO,1
2010-01-18,META,PUERTO GAITAN,1
2010-01-18,CAUCA,PAEZ,1
2010-01-18,CALDAS,SAMANA,1
2010-01-18,CAUCA,ARGELIA,1
2010-01-19,GUAVIARE,CALAMAR,11
2010-01-19,NORTE DE SANTANDER,SARDINATA,1
2010-01-19,NARIÑO,CUMBITARA,1
2010-01-19,PUTUMAYO,VILLAGARZON,1
2010-01-20,GUAVIARE,SAN JOSE DEL GUAVIARE,9
2010-01-20,NORTE DE SANTANDER,EL TARRA,1
2010-01-20,META,MAPIRIPAN,2
2010-01-21,CÓRDOBA,TIERRALTA,1
