FECHA HECHO,COD_DEPTO,DEPARTAMENTO,COD_MUNI,MUNICIPIO,CANTIDAD,UNIDAD DE MEDIDA
2010-01-02,52.0,NARIÑO,52490,OLAYA HERRERA,1,UNIDAD
2010-01-03,5.0,ANTIOQUIA,05040,ANORI,1,UNIDAD
2010-01-03,25.0,CUNDINAMARCA,25572,PUERTO SALGAR,1,UNIDAD
2010-01-03,52.0,NARIÑO,52835,SAN ANDRES DE TUMACO,2,UNIDAD
2010-01-03,52.0,NARIÑO,52490,OLAYA HERRERA,1,UNIDAD
2010-01-04,95.0,GUAVIARE,95001,SAN JOSE DEL GUAVIARE,5,UNIDAD
2010-01-04,5.0,ANTIOQUIA,05887,YARUMAL,1,UNIDAD
2010-01-05,95.0,GUAVIARE,95001,SAN JOSE DEL GUAVIARE,5,UNIDAD
2010-01-05,18.0,CAQUETÁ,18592,PUERTO RICO,1,UNIDAD
2010-01-05,19.0,CAUCA,19290,FLORENCIA,1,UNIDAD
2010-01-06,5.0,ANTIOQUIA,05361,ITUANGO,1,UNIDAD
2010-01-06,86.0,PUTUMAYO,86573,LEGUIZAMO,1,UNIDAD
2010-01-06,86.0,PUTUMAYO,86568,PUERTO ASIS,1,UNIDAD
2010-01-07,95.0,GUAVIARE,95001,SAN JOSE DEL GUAVIARE,4,UNIDAD
2010-01-07,86.0,PUTUMAYO,86320,ORITO,1,UNIDAD
2010-01-08,19.0,CAUCA,19290,FLORENCIA,1,UNIDAD
2010-01-08,5.0,ANTIOQUIA,05890,YOLOMBO,1,UNIDAD
2010-01-08,68.0,SANTANDER,68255,EL PLAYON,1,UNIDAD
2010-01-09,18.0,CAQUETÁ,18150,CARTAGENA DEL CHAIRA,1,UNIDAD
2010-01-09,5.0,ANTIOQUIA,05887,YARUMAL,1,UNIDAD
2010-01-09,5.0,ANTIOQUIA,05107,BRICEÑO,1,UNIDAD
2010-01-10,52.0,NARIÑO,52411,LINARES,1,UNIDAD
2010-01-11,50.0,META,50590,PUERTO RICO,2,UNIDAD
2010-01-11,47.0,MAGDALENA,47001,SANTA MARTA,1,UNIDAD
2010-01-11,86.0,PUTUMAYO,86885,VILLAGARZON,2,UNIDAD
2010-01-12,95.0,GUAVIARE,95025,EL RETORNO,1,UNIDAD
2010-01-12,5.0,ANTIOQUIA,05790,TARAZA,1,UNIDAD
2010-01-12,50.0,META,50568,PUERTO GAITAN,1,UNIDAD
2010-01-12,17.0,CALDAS,17662,SAMANA,1,UNIDAD
2010-01-12,47.0,MAGDALENA,47189,CIENAGA,1,UNIDAD
2010-01-12,52.0,NARIÑO,52390,LA TOLA,1,UNIDAD
2010-01-12,52.0,NARIÑO,52835,SAN ANDRES DE TUMACO,1,UNIDAD
2010-01-13,5.0,ANTIOQUIA,05854,VALDIVIA,1,UNIDAD
2010-01-13,52.0,NARIÑO,52835,SAN ANDRES DE TUMACO,1,UNIDAD
2010-01-14,5.0,ANTIOQUIA,05854,VALDIVIA,1,UNIDAD
2010-01-14,54.0,NORTE DE SANTANDER,54250,EL TARRA,2,UNIDAD
2010-01-14,54.0,NORTE DE SANTANDER,54670,SAN CALIXTO,1,UNIDAD
2010-01-14,13.0,BOLÍVAR,13030,ALTOS DEL ROSARIO,1,UNIDAD
2010-01-14,50.0,META,50683,SAN JUAN DE ARAMA,1,UNIDAD
2010-01-14,52.0,NARIÑO,52835,SAN ANDRES DE TUMACO,3,UNIDAD
2010-01-15,18.0,CAQUETÁ,18247,EL DONCELLO,9,UNIDAD
2010-01-15,19.0,CAUCA,19050,ARGELIA,1,UNIDAD
2010-01-15,52.0,NARIÑO,52835,SAN ANDRES DE TUMACO,1,UNIDAD
2010-01-16,5.0,ANTIOQUIA,05854,VALDIVIA,1,UNIDAD
2010-01-16,54.0,NORTE DE SANTANDER,54810,TIBU,1,UNIDAD
2010-01-16,19.0,CAUCA,19100,BOLIVAR,1,UNIDAD
2010-01-16,86.0,PUTUMAYO,86569,PUERTO CAICEDO,1,UNIDAD
2010-01-16,76.0,VALLE DEL CAUCA,76275,FLORIDA,1,UNIDAD
2010-01-16,52.0,NARIÑO,52835,SAN ANDRES DE TUMACO,2,UNIDAD
2010-01-17,95.0,GUAVIARE,95001,SAN JOSE DEL GUAVIARE,1,UNIDAD
2010-01-17,86.0,PUTUMAYO,86320,ORITO,1,UNIDAD
