FECHA HECHO,COD_DEPTO,DEPARTAMENTO,COD_MUNI,MUNICIPIO,CANTIDAD,UNIDAD DE MEDIDA
01/02/2010 12:00:00 AM,52,NARIÑO,52490,OLAYA HERRERA,1,UNIDAD
01/03/2010 12:00:00 AM,05,ANTIOQUIA,05040,ANORI,1,UNIDAD
01/03/2010 12:00:00 AM,25,CUNDINAMARCA,25572,PUERTO SALGAR,1,UNIDAD
01/03/2010 12:00:00 AM,52,NARIÑO,52835,SAN ANDRES DE TUMACO,2,UNIDAD
01/03/2010 12:00:00 AM,52,NARIÑO,52490,OLAYA HERRERA,1,UNIDAD
01/04/2010 12:00:00 AM,95,GUAVIARE,95001,SAN JOSE DEL GUAVIARE,5,UNIDAD
01/04/2010 12:00:00 AM,05,ANTIOQUIA,05887,YARUMAL,1,UNIDAD
01/05/2010 12:00:00 AM,95,GUAVIARE,95001,SAN JOSE DEL GUAVIARE,5,UNIDAD
01/05/2010 12:00:00 AM,18,CAQUETÁ,18592,PUERTO RICO,1,UNIDAD
01/05/2010 12:00:00 AM,19,CAUCA,19290,FLORENCIA,1,UNIDAD
01/06/2010 12:00:00 AM,05,ANTIOQUIA,05361,ITUANGO,1,UNIDAD
01/06/2010 12:00:00 AM,86,PUTUMAYO,86573,LEGUIZAMO,1,UNIDAD
01/06/2010 12:00:00 AM,86,PUTUMAYO,86568,PUERTO ASIS,1,UNIDAD
01/07/2010 12:00:00 AM,95,GUAVIARE,95001,SAN JOSE DEL GUAVIARE,4,UNIDAD
01/07/2010 12:00:00 AM,86,PUTUMAYO,86320,ORITO,1,UNIDAD
01/08/2010 12:00:00 AM,19,CAUCA,19290,FLORENCIA,1,UNIDAD
01/08/2010 12:00:00 AM,05,ANTIOQUIA,05890,YOLOMBO,1,UNIDAD
01/08/2010 12:00:00 AM,68,SANTANDER,68255,EL PLAYON,1,UNIDAD
01/09/2010 12:00:00 AM,18,CAQUETÁ,18150,CARTAGENA DEL CHAIRA,1,UNIDAD
01/09/2010 12:00:00 AM,05,ANTIOQUIA,05887,YARUMAL,1,UNIDAD
01/09/2010 12:00:00 AM,05,ANTIOQUIA,05107,BRICEÑO,1,UNIDAD
01/10/2010 12:00:00 AM,52,NARIÑO,52411,LINARES,1,UNIDAD
01/11/2010 12:00:00 AM,50,META,50590,PUERTO RICO,2,UNIDAD
01/11/2010 12:00:00 AM,47,MAGDALENA,47001,SANTA MARTA,1,UNIDAD
01/11/2010 12:00:00 AM,86,PUTUMAYO,86885,VILLAGARZON,2,UNIDAD
01/12/2010 12:00:00 AM,95,GUAVIARE,95025,EL RETORNO,1,UNIDAD
01/12/2010 12:00:00 AM,05,ANTIOQUIA,05790,TARAZA,1,UNIDAD
01/12/2010 12:00:00 AM,50,META,50568,PUERTO GAITAN,1,UNIDAD
01/12/2010 12:00:00 AM,17,CALDAS,17662,SAMANA,1,UNIDAD
01/12/2010 12:00:00 AM,47,MAGDALENA,47189,CIENAGA,1,UNIDAD
01/12/2010 12:00:00 AM,52,NARIÑO,52390,LA TOLA,1,UNIDAD
01/12/2010 12:00:00 AM,52,NARIÑO,52835,SAN ANDRES DE TUMACO,1,UNIDAD
01/13/2010 12:00:00 AM,05,ANTIOQUIA,05854,VALDIVIA,1,UNIDAD
01/13/2010 12:00:00 AM,52,NARIÑO,52835,SAN ANDRES DE TUMACO,1,UNIDAD
01/14/2010 12:00:00 AM,05,ANTIOQUIA,05854,VALDIVIA,1,UNIDAD
01/14/2010 12:00:00 AM,54,NORTE DE SANTANDER,54250,EL TARRA,2,UNIDAD
01/14/2010 12:00:00 AM,54,NORTE DE SANTANDER,54670,SAN CALIXTO,1,UNIDAD
01/14/2010 12:00:00 AM,13,BOLÍVAR,13030,ALTOS DEL ROSARIO,1,UNIDAD
01/14/2010 12:00:00 AM,50,META,50683,SAN JUAN DE ARAMA,1,UNIDAD
01/14/2010 12:00:00 AM,52,NARIÑO,52835,SAN ANDRES DE TUMACO,3,UNIDAD
01/15/2010 12:00:00 AM,18,CAQUETÁ,18247,EL DONCELLO,9,UNIDAD
01/15/2010 12:00:00 AM,19,CAUCA,19050,ARGELIA,1,UNIDAD
01/15/2010 12:00:00 AM,52,NARIÑO,52835,SAN ANDRES DE TUMACO,1,UNIDAD
01/16/2010 12:00:00 AM,05,ANTIOQUIA,05854,VALDIVIA,1,UNIDAD
01/16/2010 12:00:00 AM,54,NORTE DE SANTANDER,54810,TIBU,1,UNIDAD
01/16/2010 12:00:00 AM,19,CAUCA,19100,BOLIVAR,1,UNIDAD
01/16/2010 12:00:00 AM,86,PUTUMAYO,86569,PUERTO CAICEDO,1,UNIDAD
01/16/2010 12:00:00 AM,76,VALLE DEL CAUCA,76275,FLORIDA,1,UNIDAD
01/16/2010 12:00:00 AM,52,NARIÑO,52835,SAN ANDRES DE TUMACO,2,UNIDAD
01/17/2010 12:00:00 AM,95,GUAVIARE,95001,SAN JOSE DEL GUAVIARE,1,UNIDAD
01/17/2010 12:00:00 AM,86,PUTUMAYO,86320,ORITO,1,UNIDAD
01/17/2010 12:00:00 AM,19,CAUCA,19050,ARGELIA,1,UNIDAD
01/17/2010 12:00:00 AM,52,NARIÑO,52835,SAN ANDRES DE TUMACO,6,UNIDAD
